n_lr,model,rmse_mean,rmse_median,rmse_p90,rmse_o2,rmse_lennard_jones,rmse_morse,rmse_buckingham_exp6,rmse_extended_rydberg
12,gp_rbf,0.04643358085859399,0.017432378948949126,0.14284239248976965,0.01830320704483423,0.07328620840095385,0.014795543426925944,0.034676454332731456,0.0629761172737647
12,gp_matern,0.051318917823854185,0.028686607135569822,0.12407776700653374,0.03128924946347425,0.07064023082800844,0.02258336310680793,0.04518118272451673,0.06687089463608364
12,cnn_supervised,0.010766374878585339,0.005787755362689495,0.021885903552174568,0.008798498660326004,0.012993762269616127,0.00889856368303299,0.008976363576948643,0.012196814641356468
12,gan,0.010717954486608505,0.005746794864535332,0.018364563584327698,0.007213245611637831,0.013579737395048141,0.007769704330712557,0.008657515048980713,0.012864858843386173
14,linear,0.0957144311175755,0.06590494785836101,0.2107274385905761,0.08243092539998946,0.09861220362433303,0.07659845773952165,0.10306191380757497,0.10458514929887235
14,cubic_spline,0.021358000751814314,0.006049570770531197,0.04559767068828222,0.010494427800198818,0.02580493143096928,0.008453040184503956,0.019400286401816187,0.03177374498996783
14,gp_rbf,0.022062404886179242,0.0031670960247984375,0.06666244033036632,0.0049605244495957495,0.03244747982221106,0.004341358974920617,0.01750107246926498,0.03395970827832031
14,gp_matern,0.03729862207910605,0.01325022710019709,0.09363605561449302,0.019704981589989533,0.04834655395420978,0.01600839346378928,0.03507465010401274,0.049764890794412375
14,cnn_supervised,0.009509427472949028,0.004129020497202873,0.021677490323781967,0.005481436848640442,0.010218862444162369,0.00619249464944005,0.010542163625359535,0.011084187775850296
14,gan,0.008953863754868507,0.003975869156420231,0.020237471908330917,0.005159690976142883,0.009653273038566113,0.005523385014384985,0.009592353366315365,0.01104644313454628
16,linear,0.07681243099155588,0.05167219753764503,0.1634612689309624,0.0678849724175448,0.07935940642859603,0.06165086218034661,0.08095039410883208,0.0852890612484488
16,cubic_spline,0.012241241901275991,0.003590667909512095,0.032608048254182606,0.0053707215478839936,0.01482853770181235,0.005623042078601283,0.010554321436932312,0.01795906638775803
16,gp_rbf,0.012970048704969903,0.0009094778241074554,0.034189943758383454,0.0012496670228026772,0.021829758827769163,0.001629006893182651,0.004731580506148711,0.023689848592779082
16,gp_matern,0.02111644375092595,0.006071047002420663,0.06280018707617378,0.012040558603472997,0.02524367786935783,0.009667775132057278,0.020129751740924545,0.02942457026136414
16,cnn_supervised,0.006325205788016319,0.0033783181570470333,0.013211616314947605,0.0040074861608445644,0.006430685520172119,0.00456433417275548,0.006257604341953993,0.00804819818586111
16,gan,0.009283801540732384,0.004304841626435518,0.020517989993095398,0.005513923242688179,0.009919922798871994,0.0064629726111888885,0.008844188414514065,0.011908119544386864
